序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1552,002013,中航机电,2015/09/30,9.31亿,3.81亿,5724,0.20,5.14,3.97,44.8亿,-9.23,1.40亿,4308万,2.13亿,1.88亿,-19.24,16.2亿,1.74,22.95,174亿,117亿,27.0亿,7.50亿,120亿,94.1亿,25.6亿,68.65,47.9亿,27.47,17.3亿,1.85,0,0,2004/07/05
1553,002014,永新股份,2015/09/30,3.26亿,3.23亿,1.47万,0.38,4.79,8.11,12.8亿,7.74,1.39亿,132万,1.47亿,1.23亿,18.89,5.16亿,1.58,20.19,19.6亿,11.7亿,6.41亿,5551万,3.76亿,3.33亿,4239万,19.16,15.6亿,79.57,5.92亿,1.82,0,0,2004/07/08
1554,002015,*ST霞客,2015/09/30,4.01亿,3.82亿,1.87万,0.23,0.78,0.00,2.46亿,-75.60,-473万,34.0万,9067万,9067万,0.00,-11.1亿,-2.78,8.13,5.58亿,2.78亿,1.56亿,7308万,2.47亿,2.42亿,475万,44.24,3.11亿,55.76,10.1亿,2.51,0,0,2004/07/08
1555,002016,世荣兆业,2015/09/30,8.09亿,6.46亿,3.15万,0.06,2.07,2.67,8.76亿,144.76,6950万,-2788万,7600万,4445万,51.04,7.06亿,0.87,29.98,51.2亿,45.3亿,1.22亿,694万,34.3亿,30.2亿,4.12亿,67.04,16.7亿,32.69,4793万,0.06,0,0,2004/07/08
1556,002017,东信和平,2015/09/30,3.47亿,3.40亿,7776,0.12,2.29,5.29,9.29亿,3.78,4495万,-251万,5250万,4127万,32.54,2.04亿,0.59,26.22,15.6亿,11.9亿,2.32亿,456万,7.65亿,6.19亿,1.46亿,49.07,7.92亿,50.80,1.82亿,0.52,0,0,2004/07/13
1557,002018,华信国际,2015/09/30,12.0亿,4.70亿,1.70万,0.01,2.21,0.35,34.9亿,-39.31,3621万,-3276万,4174万,1056万,-87.76,2.20亿,0.18,5.37,49.1亿,24.4亿,6.53亿,1.72亿,20.8亿,20.1亿,6679万,42.27,26.5亿,53.90,11.7亿,0.98,0,0,2004/07/13
1558,002019,亿帆鑫富,2015/09/30,4.40亿,1.94亿,9673,0.67,6.34,10.90,18.2亿,71.71,2.93亿,301万,3.61亿,2.94亿,163.44,6.70亿,1.52,40.05,40.2亿,15.2亿,5.48亿,1.88亿,12.1亿,11.2亿,8713万,30.08,27.9亿,69.45,18.2亿,4.14,0,0,2004/07/13
1559,002020,京新药业,2015/09/30,2.86亿,2.32亿,1.75万,0.50,5.24,9.87,10.3亿,14.01,1.58亿,1361万,1.66亿,1.44亿,55.06,3.19亿,1.11,51.31,21.3亿,11.7亿,5.83亿,1.04亿,6.27亿,5.68亿,5842万,29.47,15.0亿,70.53,8.66亿,3.02,0,0,2004/07/15
1560,002021,中捷资源,2015/09/30,6.88亿,5.68亿,1.13万,-0.13,1.94,-6.72,6.02亿,-30.77,-1.01亿,534万,-9675万,-8932万,0.00,1.27亿,0.18,11.78,18.8亿,9.50亿,4.52亿,2.90亿,5.09亿,5.06亿,358万,27.13,13.4亿,71.21,5.00亿,0.73,0,0,2004/07/15
1561,002022,科华生物,2015/09/30,5.13亿,3.80亿,9768,0.38,3.22,12.74,8.72亿,-5.46,2.17亿,2117万,2.24亿,1.90亿,-22.62,6.99亿,1.36,42.97,17.8亿,12.9亿,2.48亿,5511万,1.31亿,1.22亿,922万,7.33,16.5亿,92.67,2.92亿,0.57,0,0,2004/07/21
1562,002023,海特高新,2015/09/30,7.57亿,5.76亿,6339,0.07,4.35,2.74,3.30亿,-8.47,3986万,1367万,5050万,4583万,-58.15,5.28亿,0.70,59.16,54.3亿,29.0亿,10.6亿,1.62亿,16.7亿,4.41亿,12.3亿,30.80,32.9亿,60.57,19.3亿,2.54,0,0,2004/07/21
1563,002024,苏宁云商,2015/09/30,73.8亿,50.2亿,8331,0.01,4.00,0.18,936亿,17.44,-12.9亿,2.67亿,1.24亿,5304万,0.00,158亿,2.14,15.81,884亿,553亿,116亿,88.7亿,576亿,464亿,113亿,65.20,295亿,33.37,52.4亿,0.71,0,0,2004/07/21
1564,002025,航天电器,2015/09/30,4.29亿,4.29亿,7765,0.40,4.42,9.34,13.7亿,12.89,2.16亿,17.5万,2.24亿,1.73亿,19.29,7.69亿,1.79,39.02,32.2亿,25.1亿,5.07亿,7869万,9.57亿,8.00亿,1.56亿,29.73,19.0亿,58.98,4.22亿,0.98,0,0,2004/07/26
1565,002026,山东威达,2015/09/30,3.54亿,3.54亿,1.68万,0.15,4.54,3.19,5.88亿,-2.83,6203万,1954万,6541万,5239万,-37.01,3.91亿,1.10,23.16,19.5亿,12.5亿,4.20亿,1.01亿,3.45亿,3.32亿,1220万,17.66,16.1亿,82.34,7.99亿,2.26,0,0,2004/07/27
1566,002027,七喜控股,2015/09/30,3.02亿,2.05亿,5353,-0.01,1.63,-0.55,3.12亿,10.81,-605万,-386万,-270万,-270万,-363.53,7571万,0.25,11.24,6.21亿,1.66亿,9370万,2084万,1.28亿,1.28亿,0,20.62,4.93亿,79.38,6609万,0.22,0,0,2004/08/04
1567,002028,思源电气,2015/09/30,6.26亿,4.76亿,1.08万,0.38,6.05,6.45,24.5亿,9.13,2.53亿,4995万,2.94亿,2.37亿,-26.77,27.4亿,4.38,34.03,57.7亿,47.7亿,6.01亿,1.89亿,18.0亿,17.6亿,4123万,31.24,37.9亿,65.58,1.77亿,0.28,0,0,2004/08/05
1568,002029,七 匹 狼,2015/09/30,7.56亿,7.55亿,1.46万,0.24,6.51,3.71,17.7亿,2.10,2.10亿,8294万,2.42亿,1.82亿,-20.36,18.0亿,2.38,41.32,76.2亿,58.4亿,4.29亿,7741万,26.5亿,26.0亿,5256万,34.81,49.2亿,64.56,18.8亿,2.49,0,0,2004/08/06
1569,002030,达安基因,2015/09/30,6.59亿,6.37亿,1.07万,0.12,1.60,8.94,9.94亿,31.12,6808万,-174万,9472万,7886万,-19.91,1.44亿,0.22,40.86,22.9亿,16.2亿,2.83亿,5719万,10.1亿,9.70亿,3923万,44.11,10.5亿,45.95,1.70亿,0.26,0,0,2004/08/09
1570,002031,巨轮智能,2015/09/30,7.33亿,5.72亿,1.27万,0.16,4.05,3.93,7.82亿,4.02,1.26亿,1411万,1.31亿,1.15亿,-4.80,9.09亿,1.24,29.70,44.9亿,31.7亿,9.70亿,1.61亿,14.1亿,13.1亿,1.02亿,31.40,29.7亿,66.14,12.1亿,1.65,0,0,2004/08/16
