序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
629,600747,大连控股,2015/09/30,14.6亿,10.6亿,1.05万,-0.04,1.42,-2.49,18.3亿,320.14,-5283万,647万,-5308万,-5231万,0.00,-5.02亿,-0.34,0.00,25.7亿,22.8亿,8856万,1515万,4.82亿,4.82亿,0,18.76,20.7亿,80.68,9.96亿,0.68,0,0,1996/09/16
630,600748,上实发展,2015/09/30,10.8亿,10.8亿,2.93万,0.19,4.46,4.17,11.8亿,35.45,2.61亿,2.19亿,2.50亿,2.02亿,-72.33,31.6亿,2.92,43.46,209亿,183亿,2713万,0,153亿,75.9亿,77.3亿,73.44,48.3亿,23.15,0,0.00,0,0,1996/09/25
631,600749,西藏旅游,2015/09/30,1.89亿,1.89亿,3887,-0.17,3.15,-5.34,1.24亿,-13.38,-3482万,-36.2万,-3388万,-3271万,-2299.30,-3368万,-0.18,40.58,13.1亿,1.20亿,5.93亿,4.11亿,7.01亿,3.28亿,3.73亿,53.60,5.97亿,45.65,4.40亿,2.33,0,0,1996/10/15
632,600750,江中药业,2015/09/30,3.00亿,3.00亿,2.13万,0.74,7.36,10.28,18.8亿,-8.26,2.54亿,-28.6万,2.63亿,2.22亿,42.99,11.9亿,3.97,48.54,33.3亿,19.8亿,6.91亿,3.58亿,10.7亿,10.6亿,353万,31.96,22.1亿,66.29,5.49亿,1.83,0,0,1996/09/23
633,600751,天海投资,2015/09/30,29.0亿,3.88亿,5762,0.05,4.15,1.19,2.93亿,-5.18,1.41亿,1.52亿,1.43亿,1.43亿,3915.02,-11.1亿,-0.38,-4.21,123亿,122亿,1.30亿,1.87万,3.23亿,3.20亿,207万,2.61,120亿,97.46,101亿,3.49,3.26亿,0,1996/09/09
634,600753,东方银星,2015/09/30,1.28亿,1.28亿,1.54万,0.35,1.14,35.82,137万,-51.54,-104万,0,4999万,4422万,0.00,-1.24亿,-0.97,57.84,3.09亿,2.89亿,6734,0,1.42亿,1.42亿,0,46.05,1.46亿,47.13,1.41亿,1.11,0,0,1996/09/27
635,600754,锦江股份,2015/09/30,8.05亿,4.47亿,1.83万,0.58,9.95,5.45,41.1亿,89.96,6.42亿,2.59亿,6.65亿,4.64亿,36.79,13.9亿,1.72,91.16,267亿,93.7亿,65.0亿,24.5亿,185亿,72.5亿,112亿,69.22,80.0亿,30.03,44.8亿,5.57,1.56亿,0,1996/10/11
636,600755,厦门国贸,2015/09/30,16.6亿,16.6亿,1.24万,0.27,4.64,5.90,432亿,3.42,5.61亿,6.76亿,5.96亿,4.48亿,-36.65,37.6亿,2.26,4.51,406亿,362亿,11.6亿,2.18亿,321亿,306亿,15.1亿,78.98,77.2亿,19.01,20.1亿,1.21,0,0,1996/10/03
637,600756,浪潮软件,2015/09/30,2.79亿,2.79亿,5688,0.18,3.22,5.87,6.63亿,2.66,3754万,7864万,4671万,5119万,137.35,4.59亿,1.65,36.25,18.9亿,9.08亿,7489万,9736万,9.91亿,9.53亿,3715万,52.38,8.99亿,47.52,8059万,0.29,0,0,1996/09/23
638,600757,长江传媒,2015/09/30,12.1亿,12.1亿,2.44万,0.28,4.14,7.07,53.6亿,60.59,2.74亿,1.10亿,3.49亿,3.45亿,36.09,19.1亿,1.57,19.33,84.1亿,61.9亿,10.3亿,3.63亿,33.0亿,31.8亿,1.12亿,39.19,50.3亿,59.74,18.0亿,1.49,0,0,1996/10/03
639,600758,红阳能源,2015/09/30,2.08亿,1.15亿,5433,0.02,1.64,1.00,1.62亿,-9.15,157万,0,542万,340万,-54.52,1.12亿,0.54,9.42,7.37亿,1.04亿,5.44亿,5055万,3.97亿,2.08亿,1.89亿,53.89,3.40亿,46.11,998万,0.05,0,0,1996/10/29
640,600759,洲际油气,2015/09/30,22.6亿,15.8亿,2.10万,0.00,2.16,0.10,9.65亿,7.45,-4900万,315万,-1879万,494万,0.00,6.23亿,0.28,53.59,134亿,26.3亿,6771万,211万,83.9亿,40.4亿,43.5亿,62.40,48.8亿,36.29,24.4亿,1.08,0,0,1996/10/08
641,600760,中航黑豹,2015/09/30,3.45亿,3.45亿,3664,-0.33,1.43,-20.78,12.7亿,-34.90,-1.85亿,0,-1.58亿,-1.14亿,0.00,-4.19亿,-1.21,4.65,28.6亿,12.0亿,11.0亿,3.02亿,21.9亿,19.8亿,2.10亿,76.72,4.93亿,17.25,5.53亿,1.60,0,0,1996/10/11
642,600761,安徽合力,2015/09/30,6.17亿,6.17亿,1.74万,0.47,6.38,7.46,43.8亿,-16.27,3.58亿,2410万,3.70亿,2.92亿,-39.68,23.1亿,3.75,21.94,56.3亿,34.9亿,15.9亿,2.11亿,15.4亿,14.5亿,9025万,27.43,39.4亿,69.90,5.58亿,0.90,0,0,1996/10/09
643,600763,通策医疗,2015/09/30,1.60亿,1.60亿,2.14万,0.76,4.69,17.72,5.60亿,30.51,1.56亿,116万,1.60亿,1.22亿,34.69,3.92亿,2.44,41.81,9.32亿,3.38亿,1.27亿,1790万,1.13亿,1.09亿,398万,12.16,7.52亿,80.67,1.98亿,1.24,0,0,1996/10/30
644,600764,中电广通,2015/09/30,3.30亿,3.30亿,1.43万,0.00,1.84,-0.05,5.06亿,-11.62,1052万,3950万,1079万,-29.0万,-106.28,1.84亿,0.56,12.10,13.5亿,5.53亿,8822万,1857万,6.21亿,5.79亿,4239万,46.04,6.05亿,44.87,4192万,0.13,0,0,1996/11/04
645,600765,中航重机,2015/09/30,7.78亿,7.78亿,9999,0.16,4.69,3.38,45.5亿,4.09,1.04亿,6186万,1.16亿,1.21亿,2.03,14.3亿,1.84,20.71,132亿,84.1亿,27.5亿,3.06亿,87.8亿,62.1亿,25.6亿,66.40,36.5亿,27.60,13.3亿,1.71,0,0,1996/11/06
646,600766,园城黄金,2015/09/30,2.24亿,2.24亿,1.63万,0.11,0.25,51.89,883万,-56.35,273万,-8.84万,2602万,2443万,87.10,-3.95亿,-1.76,0.00,2.12亿,1.56亿,1023万,265万,1.57亿,1.52亿,504万,73.80,5562万,26.20,2.37亿,1.06,0,0,1996/10/28
647,600767,运盛医疗,2015/09/30,3.41亿,3.41亿,4908,-0.09,0.98,-8.71,1788万,-86.56,-3692万,35.0万,-3588万,-3057万,-326.30,-6381万,-0.19,55.32,6.13亿,4.17亿,2074万,5116万,2.13亿,2.00亿,1304万,34.74,3.36亿,54.75,5324万,0.16,0,0,1996/11/15
648,600768,宁波富邦,2015/09/30,1.34亿,1.34亿,1.31万,-0.22,0.52,-35.02,6.41亿,3.12,-2835万,0,-2894万,-2946万,0.00,-8203万,-0.61,1.64,6.61亿,3.61亿,2.20亿,2642万,5.92亿,5.47亿,4476万,89.50,6938万,10.50,404万,0.03,0,0,1996/11/11
649,600769,祥龙电业,2015/09/30,3.75亿,3.75亿,1.45万,0.02,0.11,16.63,1543万,65.06,505万,803万,660万,657万,766.54,-7.43亿,-1.98,9.68,9256万,6868万,204万,627万,4847万,4847万,8338,52.37,4278万,46.21,3.67亿,0.98,0,0,1996/11/01
650,600770,综艺股份,2015/09/30,13.0亿,11.0亿,1.53万,0.02,2.62,0.69,3.90亿,-18.78,1.52亿,1.84亿,1.57亿,2370万,21.56,9531万,0.07,36.40,64.1亿,18.8亿,15.0亿,1.16亿,17.8亿,15.4亿,2.45亿,27.83,34.1亿,53.21,21.3亿,1.64,0,0,1996/11/20
651,600771,广誉远,2015/09/30,2.78亿,2.44亿,1.82万,0.00,2.54,0.51,2.76亿,5.88,318万,688万,386万,116万,-38.27,-6.24亿,-2.25,71.35,11.2亿,10.4亿,4510万,857万,3.98亿,3.87亿,1071万,35.38,7.07亿,62.85,10.2亿,3.68,0,0,1996/11/05
652,600773,西藏城投,2015/09/30,7.29亿,5.40亿,1.12万,0.05,3.37,1.46,2.15亿,-63.97,4286万,3011万,5763万,3570万,-27.80,5.80亿,0.80,40.56,105亿,101亿,712万,0,79.8亿,45.7亿,34.1亿,75.76,24.6亿,23.36,11.5亿,1.58,0,0,1996/11/08
653,600774,汉商集团,2015/09/30,1.75亿,1.74亿,1.54万,0.04,3.24,1.18,7.10亿,6.00,960万,230万,812万,666万,240.32,1.87亿,1.07,29.18,16.5亿,1.59亿,11.6亿,5133万,9.65亿,7.46亿,2.18亿,58.37,5.66亿,34.25,1.29亿,0.74,0,0,1996/11/08
654,600775,南京熊猫,2015/09/30,9.14亿,6.33亿,1.50万,0.12,3.54,3.52,25.0亿,0.87,1.67亿,1.31亿,1.74亿,1.13亿,18.40,6.19亿,0.68,15.72,49.8亿,34.9亿,9.17亿,8084万,15.6亿,15.4亿,2084万,31.29,32.3亿,64.88,14.6亿,1.60,0,2.42亿,1996/11/18
655,600776,东方通信,2015/09/30,12.6亿,9.56亿,1.28万,0.08,2.30,3.39,24.5亿,-10.69,8030万,2951万,1.13亿,9802万,0.15,6.51亿,0.52,11.91,34.9亿,28.2亿,2.14亿,3705万,5.63亿,5.46亿,1733万,16.13,28.9亿,82.76,8.94亿,0.71,3.00亿,0,1996/11/26
656,600777,新潮实业,2015/09/30,6.25亿,6.25亿,1.57万,-0.11,1.77,-6.15,3.06亿,-45.41,-7542万,0,-7209万,-7026万,0.00,-9159万,-0.15,23.29,44.2亿,39.8亿,2.02亿,1.18亿,26.9亿,24.8亿,2.02亿,60.83,11.1亿,25.08,4.81亿,0.77,0,0,1996/11/21
657,600778,友好集团,2015/09/30,3.11亿,3.11亿,1.06万,0.15,5.24,2.75,48.5亿,-13.66,9790万,2.21亿,1.08亿,4770万,-40.61,8.11亿,2.61,23.53,72.3亿,27.7亿,21.3亿,2.37亿,52.0亿,27.4亿,24.6亿,71.99,16.3亿,22.56,4.04亿,1.30,0,0,1996/12/03
658,600779,*ST水井,2015/09/30,4.89亿,2.95亿,8276,0.15,2.61,5.70,6.19亿,122.42,1.08亿,0,1.08亿,7080万,0.00,3404万,0.07,73.37,17.5亿,11.3亿,4.67亿,8668万,4.77亿,3.82亿,9541万,27.20,12.8亿,72.80,4.00亿,0.82,0,0,1996/12/06
659,600780,通宝能源,2015/09/30,11.5亿,11.5亿,2.06万,0.24,3.90,6.32,41.6亿,-12.89,3.75亿,-1545万,3.63亿,2.79亿,-34.31,19.4亿,1.69,19.73,85.7亿,19.7亿,53.9亿,1.37亿,40.3亿,14.9亿,25.4亿,47.07,44.7亿,52.20,10.9亿,0.95,0,0,1996/12/05
660,600781,辅仁药业,2015/09/30,1.78亿,1.78亿,1.02万,0.13,1.97,6.97,3.17亿,1.70,2418万,0,3197万,2317万,40.95,2026万,0.11,48.01,11.3亿,3.43亿,4.85亿,4238万,7.14亿,4.54亿,2.60亿,63.24,3.50亿,31.02,1.29亿,0.73,0,0,1996/12/18
661,600782,新钢股份,2015/09/30,13.9亿,13.9亿,4.10万,-0.18,5.60,-3.09,181亿,-32.28,-4.12亿,-212万,-3.36亿,-2.45亿,-280.59,4.73亿,0.34,3.89,304亿,163亿,114亿,11.5亿,221亿,184亿,37.8亿,72.75,78.0亿,25.61,56.8亿,4.08,0,0,1996/12/25
662,600783,鲁信创投,2015/09/30,7.44亿,7.44亿,2.15万,0.31,4.53,6.84,1.40亿,-14.68,3.02亿,4.08亿,3.02亿,2.30亿,-28.04,13.8亿,1.86,24.62,51.4亿,11.5亿,9931万,5097万,16.2亿,2.50亿,13.7亿,31.47,33.7亿,65.62,10.9亿,1.47,0,0,1996/12/25
663,600784,鲁银投资,2015/09/30,5.68亿,4.97亿,9678,0.01,2.66,0.40,16.7亿,-38.71,2332万,3449万,2261万,586万,-79.82,3.86亿,0.68,11.06,58.9亿,44.5亿,3.63亿,1.23亿,41.7亿,41.7亿,100万,70.83,15.1亿,25.65,4.68亿,0.82,0,0,1996/12/25
664,600785,新华百货,2015/09/30,2.26亿,2.07亿,1.34万,0.60,8.22,7.54,54.8亿,8.97,1.75亿,327万,1.77亿,1.35亿,-41.71,11.4亿,5.05,20.42,41.5亿,18.3亿,14.0亿,1.22亿,23.1亿,19.8亿,3.26亿,55.60,18.5亿,44.62,3.09亿,1.37,0,0,1997/01/08
665,600787,中储股份,2015/09/30,18.6亿,16.8亿,2.02万,0.22,3.46,6.45,127亿,-22.61,5399万,937万,5.33亿,4.06亿,-7.86,18.7亿,1.01,3.70,120亿,62.4亿,19.2亿,18.7亿,55.3亿,25.8亿,29.5亿,45.99,64.3亿,53.50,19.4亿,1.04,0,0,1997/01/21
666,600789,鲁抗医药,2015/09/30,5.82亿,5.82亿,4875,0.00,3.11,0.05,17.4亿,-0.92,40.5万,1057万,824万,74.8万,0.00,-901万,-0.02,18.51,39.6亿,18.5亿,15.3亿,2.10亿,20.6亿,13.8亿,6.72亿,51.87,18.1亿,45.69,10.8亿,1.86,0,0,1997/02/26
667,600790,轻纺城,2015/09/30,10.5亿,10.5亿,1.81万,0.22,3.47,6.46,6.00亿,-2.30,2.88亿,5104万,3.00亿,2.27亿,-9.21,8.45亿,0.81,62.09,71.9亿,10.7亿,2.16亿,3.08亿,35.6亿,34.5亿,1.08亿,49.43,36.3亿,50.48,14.8亿,1.41,0,0,1997/02/28
668,600791,京能置业,2015/09/30,4.53亿,4.52亿,1.65万,0.11,3.27,3.48,4.48亿,-64.50,1.01亿,2260万,9866万,5079万,-25.40,8.28亿,1.83,45.61,49.5亿,45.3亿,1595万,36.3万,29.2亿,7.17亿,22.0亿,58.99,14.8亿,29.94,1.32亿,0.29,0,0,1997/01/30
669,600792,云煤能源,2015/09/30,9.90亿,9.52亿,1.57万,-0.33,3.13,-10.08,27.1亿,-27.13,-3.37亿,2551万,-3.33亿,-3.29亿,-6239.54,1.43亿,0.14,-2.07,57.5亿,14.9亿,27.0亿,6.62亿,26.5亿,21.4亿,5.05亿,46.08,31.0亿,53.92,18.4亿,1.86,0,0,1997/01/23
670,600793,ST宜纸,2015/09/30,1.05亿,1.05亿,2.41万,-0.12,0.27,-35.03,4.93万,2.42,-1288万,0,-1228万,-1228万,0.00,-1.85亿,-1.76,-56.31,30.9亿,3.28亿,6.05亿,9627万,30.6亿,8.63亿,22.0亿,99.06,2891万,0.94,1.05亿,1.00,0,0,1997/02/20
671,600794,保税科技,2015/09/30,11.9亿,10.7亿,9171,0.06,1.50,4.15,5.40亿,38.49,6604万,4556万,7787万,7403万,-39.63,5.17亿,0.43,24.41,28.6亿,11.2亿,8.74亿,1.97亿,10.4亿,5.45亿,4.97亿,36.43,17.9亿,62.55,3875万,0.03,0,0,1997/03/06
672,600795,国电电力,2015/09/30,197亿,178亿,1.70万,0.25,2.60,10.29,414亿,-10.91,86.4亿,14.8亿,90.8亿,50.4亿,-1.51,182亿,0.93,30.42,2524亿,172亿,1590亿,25.1亿,1815亿,933亿,882亿,71.92,511亿,20.23,64.1亿,0.33,0,0,1997/03/18
673,600796,钱江生化,2015/09/30,3.01亿,3.01亿,7709,0.05,1.86,2.71,3.10亿,5.07,1616万,-1352万,2244万,1498万,-45.30,1.47亿,0.49,25.52,11.0亿,5.57亿,3.98亿,2450万,5.18亿,3.59亿,1.60亿,47.02,5.61亿,50.90,3758万,0.12,0,0,1997/04/08
674,600797,浙大网新,2015/09/30,8.22亿,8.22亿,6173,0.01,1.93,0.31,33.3亿,-1.52,1494万,1.08亿,2568万,495万,0.00,4.43亿,0.54,16.14,49.3亿,33.6亿,1.03亿,3719万,32.1亿,30.4亿,1.77亿,65.12,15.9亿,32.14,2.52亿,0.31,0,0,1997/04/18
675,600798,宁波海运,2015/09/30,10.3亿,10.3亿,9115,0.01,2.55,0.47,8.10亿,7.19,2438万,76.4万,2071万,1083万,0.00,2.14亿,0.21,26.39,62.4亿,2.59亿,21.2亿,37.0亿,31.5亿,7.83亿,23.7亿,50.48,26.3亿,42.14,11.7亿,1.13,0,0,1997/04/23
676,600800,天津磁卡,2015/09/30,6.11亿,6.10亿,7818,-0.02,0.16,-10.05,8479万,-2.33,-4319万,207万,-1215万,-1058万,0.00,-6.92亿,-1.13,15.93,6.46亿,3.03亿,7204万,3699万,5.72亿,5.35亿,3705万,88.60,9997万,15.48,1.35亿,0.22,0,0,1993/12/06
677,600801,华新水泥,2015/09/30,15.0亿,9.73亿,1.45万,0.08,6.44,1.28,98.8亿,-12.74,1.80亿,1824万,3.19亿,1.25亿,-84.72,51.4亿,3.43,23.23,266亿,60.0亿,150亿,21.2亿,155亿,84.2亿,71.1亿,58.41,96.5亿,36.29,25.2亿,1.69,5.25亿,0,1994/01/03
678,600802,福建水泥,2015/09/30,3.82亿,3.82亿,9657,-0.53,2.74,-17.22,22.4亿,57.51,-2.70亿,2888万,-2.58亿,-2.04亿,0.00,-6859万,-0.18,0.14,51.8亿,8.97亿,27.4亿,3.90亿,34.1亿,29.7亿,4.44亿,65.86,10.4亿,20.17,2.18亿,0.57,0,0,1994/01/03
679,600803,新奥股份,2015/09/30,9.86亿,5.40亿,2.37万,0.51,3.99,10.92,41.1亿,-8.26,6.69亿,5233万,6.83亿,5.03亿,-30.70,28.7亿,2.91,29.34,109亿,36.8亿,50.0亿,9.39亿,63.5亿,35.6亿,27.8亿,58.11,39.4亿,36.04,0,0.00,0,0,1994/01/03
680,600804,鹏博士,2015/09/30,14.0亿,13.6亿,1.31万,0.43,3.92,11.49,57.5亿,12.00,6.85亿,6846万,6.93亿,5.97亿,41.50,19.5亿,1.40,61.14,173亿,37.4亿,92.7亿,8031万,117亿,101亿,16.8亿,67.91,54.9亿,31.78,19.7亿,1.40,0,0,1994/01/03
681,600805,悦达投资,2015/09/30,8.51亿,8.49亿,1.53万,0.17,7.42,2.31,13.6亿,-16.68,1.24亿,3.38亿,1.70亿,1.46亿,-80.52,44.1亿,5.18,15.80,107亿,26.2亿,12.6亿,10.9亿,38.2亿,35.2亿,2.96亿,35.55,63.2亿,58.80,4.12亿,0.48,0,0,1994/01/03
682,600806,昆明机床,2015/09/30,5.31亿,3.90亿,8075,-0.08,1.96,-4.16,6.30亿,-1.15,-7078万,-183万,-5406万,-4419万,0.00,3.73亿,0.70,22.49,29.8亿,19.1亿,5.09亿,1.36亿,18.7亿,15.9亿,2.72亿,62.52,10.4亿,34.90,1977万,0.04,0,1.41亿,1994/01/03
683,600807,天业股份,2015/09/30,8.57亿,4.92亿,6167,0.14,1.84,13.44,5.62亿,23.47,8603万,0,8571万,8470万,197.80,-7909万,-0.09,43.40,49.0亿,42.9亿,5952万,1.80亿,33.2亿,24.1亿,9.04亿,67.74,15.8亿,32.24,9.35亿,1.09,0,0,1994/01/03
684,600808,马钢股份,2015/09/30,77.0亿,59.7亿,1.80万,-0.33,2.69,-11.71,347亿,-21.85,-28.3亿,7315万,-25.7亿,-25.8亿,0.00,8.76亿,0.11,1.15,653亿,229亿,351亿,18.5亿,422亿,289亿,133亿,64.70,207亿,31.68,83.3亿,1.08,0,17.3亿,1994/01/06
685,600809,山西汾酒,2015/09/30,8.66亿,8.66亿,2.18万,0.42,4.93,9.38,30.8亿,2.20,5.26亿,36.1万,5.17亿,3.65亿,-8.36,26.5亿,3.06,67.25,61.4亿,40.0亿,7.46亿,2.31亿,18.1亿,18.1亿,149万,29.55,42.7亿,69.54,2.41亿,0.28,0,0,1994/01/06
686,600810,神马股份,2015/09/30,4.42亿,4.42亿,1.21万,0.02,5.27,0.37,96.5亿,-22.93,415万,4252万,567万,853万,-90.02,-1.46亿,-0.33,4.07,83.7亿,36.1亿,22.3亿,1.95亿,57.8亿,51.7亿,6.07亿,69.04,23.3亿,27.86,18.0亿,4.06,0,0,1994/01/06
687,600811,东方集团,2015/09/30,16.7亿,16.7亿,1.36万,0.28,6.03,4.70,45.0亿,10.98,4.81亿,12.9亿,4.55亿,4.74亿,-57.96,43.2亿,2.59,1.46,215亿,56.7亿,4.93亿,17.1亿,110亿,76.4亿,33.9亿,51.18,101亿,46.64,22.1亿,1.33,0,0,1994/01/06
688,600812,华北制药,2015/09/30,16.3亿,13.8亿,1.13万,0.02,3.22,0.60,62.4亿,-22.09,2643万,2312万,3475万,3165万,90.93,-3511万,-0.02,16.92,162亿,62.4亿,53.7亿,3.06亿,109亿,78.4亿,31.1亿,67.43,52.6亿,32.38,34.7亿,2.13,0,0,1994/01/14
689,600814,杭州解百,2015/09/30,7.15亿,3.10亿,9499,0.24,2.73,8.93,38.3亿,-9.35,3.66亿,2069万,3.61亿,1.70亿,-6.97,11.1亿,1.56,22.33,43.9亿,21.3亿,10.2亿,2509万,17.5亿,17.4亿,943万,39.95,19.5亿,44.45,1428万,0.02,0,0,1994/01/14
690,600815,厦工股份,2015/09/30,9.59亿,9.59亿,1.57万,-0.30,3.94,-7.37,23.4亿,-33.64,-3.44亿,147万,-3.19亿,-2.90亿,0.00,5.34亿,0.56,8.13,102亿,77.7亿,13.4亿,3.54亿,63.1亿,39.2亿,24.0亿,61.94,37.8亿,37.10,20.2亿,2.10,0,0,1994/01/28
691,600816,安信信托,2015/09/30,17.7亿,11.4亿,2.87万,0.76,3.30,36.53,19.2亿,42.30,15.3亿,1429万,15.9亿,12.1亿,47.83,19.4亿,1.10,0.00,67.6亿,0,822万,541万,9.20亿,0,0,13.61,58.4亿,86.39,18.3亿,1.03,0,0,1994/01/28
692,600817,ST宏盛,2015/09/30,1.61亿,1.48亿,1.67万,-0.01,0.67,-0.24,1316万,-40.22,-110万,0,-109万,-113万,-480.35,-2.74亿,-1.71,74.09,4.13亿,1.24亿,21.8万,533,1.73亿,2698万,1.46亿,41.86,1.07亿,25.89,2.12亿,1.32,0,0,1994/01/28
693,600818,中路股份,2015/09/30,3.21亿,2.38亿,9794,0.13,1.41,9.74,4.74亿,-5.34,5571万,7980万,5778万,4253万,496.12,7857万,0.24,15.63,8.05亿,2.56亿,1.04亿,1.45亿,2.90亿,2.82亿,868万,36.06,4.53亿,56.33,430万,0.01,8349万,0,1994/01/28
694,600819,耀皮玻璃,2015/09/30,9.35亿,6.72亿,1.17万,-0.10,3.28,-2.95,19.8亿,-8.44,-1.33亿,5061万,-1.08亿,-8939万,-351.06,5.37亿,0.57,18.40,84.0亿,36.3亿,30.3亿,5.53亿,46.4亿,38.2亿,8.20亿,55.22,30.7亿,36.55,11.2亿,1.20,1.88亿,0,1994/01/28
695,600820,隧道股份,2015/09/30,31.4亿,31.4亿,1.30万,0.30,5.12,5.86,161亿,0.20,11.8亿,12.4亿,12.8亿,9.34亿,-0.14,50.4亿,1.60,12.52,611亿,316亿,19.9亿,43.2亿,446亿,279亿,167亿,72.99,161亿,26.36,68.3亿,2.17,0,0,1994/01/28
696,600821,津劝业,2015/09/30,4.16亿,4.16亿,7603,0.01,1.45,0.76,3.95亿,-17.54,424万,2923万,456万,456万,-42.08,-8757万,-0.21,16.67,19.7亿,3.46亿,7.93亿,3659万,13.7亿,13.5亿,2178万,69.38,6.03亿,30.62,1.79亿,0.43,0,0,1994/01/28
697,600822,上海物贸,2015/09/30,4.96亿,3.96亿,9395,-1.25,0.74,-76.00,480亿,-13.14,-7.96亿,1913万,-7.91亿,-6.18亿,-141825.33,-8.68亿,-1.75,0.98,80.2亿,70.0亿,5.22亿,1.13亿,76.0亿,74.1亿,1.90亿,94.80,3.65亿,4.55,5.43亿,1.09,9983万,0,1994/02/04
698,600823,世茂股份,2015/09/30,17.6亿,17.6亿,4.19万,0.54,9.54,5.70,106亿,27.06,19.2亿,-2310万,19.3亿,9.43亿,22.38,81.3亿,4.61,32.37,651亿,403亿,6.99亿,1.72亿,435亿,296亿,139亿,66.92,168亿,25.85,24.3亿,1.38,0,0,1994/02/04
699,600824,益民集团,2015/09/30,10.5亿,10.5亿,1.06万,0.16,1.81,9.18,28.1亿,14.92,2.15亿,2590万,2.48亿,1.73亿,10.05,5.47亿,0.52,19.62,27.8亿,11.0亿,1.59亿,5280万,7.93亿,7.84亿,883万,28.51,19.1亿,68.74,1.35亿,0.13,0,0,1994/02/04
700,600825,新华传媒,2015/09/30,10.4亿,10.4亿,1.71万,0.03,2.43,1.41,11.0亿,-13.14,3164万,7357万,3911万,3560万,93.85,7.86亿,0.75,32.46,43.8亿,20.3亿,3.79亿,3197万,18.2亿,18.2亿,0,41.50,25.4亿,58.03,5.57亿,0.53,0,0,1994/02/04
701,600826,兰生股份,2015/09/30,4.21亿,4.21亿,1.83万,1.18,6.80,14.39,15.9亿,71.45,6.42亿,6.11亿,6.44亿,4.95亿,868.11,9.53亿,2.27,4.90,39.7亿,17.1亿,3116万,133万,10.7亿,6.91亿,3.79亿,26.96,28.6亿,72.06,1.38亿,0.33,0,0,1994/02/04
702,600827,百联股份,2015/09/30,17.2亿,15.4亿,1.66万,0.68,8.66,7.58,363亿,-5.09,16.6亿,5.59亿,17.6亿,11.8亿,33.85,63.7亿,3.70,22.38,407亿,172亿,120亿,27.6亿,220亿,200亿,19.9亿,54.04,149亿,36.69,29.1亿,1.69,1.80亿,0,1994/02/04
703,600828,成商集团,2015/09/30,5.70亿,5.70亿,1.73万,0.14,2.28,6.19,14.2亿,-9.37,9988万,834万,1.04亿,7857万,-55.49,5.47亿,0.96,23.05,23.1亿,3.11亿,8.45亿,3.79亿,9.87亿,7.77亿,2.10亿,42.82,13.0亿,56.49,2998万,0.05,0,0,1994/02/24
704,600829,人民同泰,2015/09/30,5.80亿,5.80亿,2.39万,0.24,2.45,6.32,67.9亿,-0.25,1.85亿,0,1.90亿,1.37亿,-15.84,8.42亿,1.45,11.85,40.5亿,35.0亿,3.95亿,2954万,26.3亿,24.7亿,1.63亿,64.91,14.2亿,35.09,0,0.00,0,0,1994/02/24
705,600830,香溢融通,2015/09/30,4.54亿,4.54亿,9462,0.15,4.26,3.65,12.7亿,85.31,9696万,305万,1.06亿,6966万,2.98,7.98亿,1.76,11.86,37.1亿,19.6亿,1.64亿,5815万,15.8亿,14.7亿,1.16亿,42.68,19.4亿,52.20,5.25亿,1.15,0,0,1994/02/24
706,600831,广电网络,2015/09/30,5.63亿,5.63亿,1.19万,0.18,3.33,5.46,17.6亿,9.87,9588万,276万,1.01亿,1.00亿,11.90,7.97亿,1.41,34.41,52.1亿,8.42亿,34.7亿,7898万,32.9亿,26.1亿,6.82亿,63.06,18.7亿,35.94,4.33亿,0.77,0,0,1994/02/24
707,600833,第一医药,2015/09/30,2.23亿,2.23亿,8301,0.15,3.29,4.70,11.4亿,7.16,3782万,385万,4013万,3247万,11.51,1.19亿,0.53,15.00,11.8亿,5.96亿,8713万,5990万,4.37亿,3.24亿,1.12亿,37.06,7.35亿,62.34,6519万,0.29,0,0,1994/02/24
708,600834,申通地铁,2015/09/30,4.77亿,4.77亿,8980,0.10,2.89,3.43,5.67亿,3.41,2167万,1668万,5818万,4736万,-43.11,6.32亿,1.32,8.27,24.3亿,7318万,14.0亿,0,10.5亿,5.37亿,5.11亿,43.14,13.8亿,56.86,7974万,0.17,0,0,1994/02/24
709,600835,上海机电,2015/09/30,10.2亿,8.07亿,1.41万,1.58,7.79,23.03,148亿,-5.28,24.4亿,11.4亿,25.6亿,16.2亿,118.32,34.7亿,3.40,21.09,294亿,245亿,15.4亿,2.06亿,192亿,186亿,6.24亿,65.43,79.7亿,27.16,20.5亿,2.00,2.16亿,0,1994/02/24
710,600836,界龙实业,2015/09/30,3.31亿,3.14亿,4579,0.01,2.60,0.71,9.19亿,7.16,1851万,91.7万,2640万,399万,-13.89,9765万,0.29,22.14,37.0亿,28.5亿,5.22亿,3670万,27.6亿,24.4亿,3.25亿,74.77,8.62亿,23.32,4.31亿,1.30,0,0,1994/02/24
