Date,Open,High,Low,Close,Volume,Adj Close,KDJ,MACD
2014/12/18,12.11,12.11,11,11.24,55039400,11.24,"K=67.18
D=62.24
J=77.06","DIF=0.61
DEA=0.58
MACD=0.06"
2014/12/17,11.2,12.16,10.86,12.16,55039400,12.16,K=?,"DIF=0.622 
DEA=0.574 
MACD=0.096"
2014/10/16,8.53,8.83,8.47,8.64,7072000,8.64,,
2014/10/15,8.68,8.68,8.38,8.57,6024800,8.57,,
2014/10/14,8.86,8.88,8.63,8.68,5738000,8.68,,
2014/10/13,8.69,8.88,8.6,8.86,7332400,8.86,,
2014/10/10,8.88,8.94,8.65,8.69,8651400,8.69,,
2014/10/9,8.99,9.05,8.77,8.87,8615300,8.87,,
2014/10/8,8.86,9.05,8.83,9.02,7221300,9.02,,
2014/10/7,8.9,8.9,8.9,8.9,0,8.9,,
2014/10/6,8.9,8.9,8.9,8.9,0,8.9,,
2014/10/3,8.9,8.9,8.9,8.9,0,8.9,,
2014/10/2,8.9,8.9,8.9,8.9,0,8.9,,
2014/10/1,8.9,8.9,8.9,8.9,0,8.9,,
2014/9/30,8.95,8.96,8.71,8.9,7163100,8.9,,
2014/9/29,9.17,9.17,8.84,8.97,10416600,8.97,,
2014/9/26,9.16,9.2,8.81,9.2,12878200,9.2,,
2014/9/25,9.52,9.58,9.1,9.19,14736100,9.19,,
2014/9/24,9.49,9.6,9.34,9.52,7635100,9.52,,
2014/9/23,9.39,9.74,9.33,9.58,9800700,9.58,,
2014/9/22,9.58,9.65,9.2,9.4,10799900,9.4,,
2014/9/19,9.08,9.39,8.86,9.3,9103100,9.3,,
2014/9/18,9.01,9.19,8.8,9.02,8968800,9.02,,
2014/9/17,9.17,9.27,8.66,9.07,11764700,9.07,,
2014/9/16,9.2,9.55,9.14,9.17,21244900,9.17,,
2014/9/15,9.25,9.51,8.89,9.16,26565200,9.16,,
2014/9/12,9.05,9.49,9.03,9.26,23017000,9.26,,
2014/9/11,8.65,9.03,8.62,9.01,20793900,9.01,,
2014/9/10,8.47,9.38,8.47,8.87,57577500,8.87,,
2014/9/9,9.05,9.92,8.97,9.41,25318600,9.41,,
2014/9/8,9.21,9.21,9.21,9.21,0,9.21,,
2014/9/5,8.71,9.37,8.71,9.21,37933500,9.21,,
2014/9/4,8.68,8.75,8.47,8.52,12106500,8.52,,
2014/9/3,8.55,8.83,8.55,8.64,17832200,8.64,,
2014/9/2,8.48,8.58,8.34,8.5,11667900,8.5,,
2014/9/1,8.12,8.65,8.07,8.5,21268100,8.5,,
2014/8/29,7.68,8.19,7.66,8.19,10677100,8.19,,
2014/8/28,7.88,8.07,7.55,7.63,12097300,7.63,,
2014/8/27,8.08,8.19,7.88,7.88,9570100,7.88,,
2014/8/26,8.15,8.32,8.01,8.07,9489000,8.07,,
2014/8/25,8.35,8.45,8,8.15,15776500,8.15,,
2014/8/22,8.2,8.65,7.84,8.54,30868200,8.54,,
2014/8/21,8.31,8.45,8.05,8.18,15577800,8.18,,
2014/8/20,8.35,8.75,8.26,8.41,17153200,8.41,,
2014/8/19,8.57,8.76,8.38,8.39,25603900,8.39,,
2014/8/18,8.76,9.08,8.57,8.71,36366600,8.71,,
2014/8/15,8.79,9.09,8.61,8.9,46632200,8.9,,
2014/8/14,7.71,8.26,7.71,8.26,26176200,8.26,,
2014/8/13,7.55,7.56,7.11,7.51,27799100,7.51,,
2014/8/12,7.4,7.55,7.35,7.52,23261500,7.52,,
2014/8/11,7.35,7.71,7.31,7.64,41634900,7.64,,
2014/8/8,6.4,7.01,6.37,7.01,23024200,7.01,,
2014/8/7,6.26,6.5,6.22,6.37,18318000,6.37,,
2014/8/6,6.11,6.32,6.11,6.26,10160100,6.26,,
2014/8/5,6.08,6.21,6.01,6.19,8650900,6.19,,
2014/8/4,6.06,6.11,5.96,6.1,5550100,6.1,,
2014/8/1,6.15,6.2,5.98,6,10675200,6,,
2014/7/31,6.23,6.26,6.1,6.18,10250100,6.18,,
2014/7/30,6.09,6.34,6,6.2,17817100,6.2,,
2014/7/29,6.02,6.07,5.92,6.07,8346000,6.07,,
2014/7/28,5.9,6.05,5.86,5.99,10079600,5.99,,
2014/7/25,5.75,5.95,5.72,5.94,8382100,5.94,,
2014/7/24,5.84,5.93,5.7,5.73,9482300,5.73,,
2014/7/23,6.11,6.13,5.81,5.82,14498100,5.82,,
2014/7/22,6.18,6.21,6.04,6.1,10295800,6.1,,
2014/7/21,5.99,6.12,5.87,6.09,11663400,6.09,,
2014/7/18,5.87,6.12,5.86,6.02,12628800,6.02,,
2014/7/17,6.13,6.18,5.82,5.97,15256400,5.97,,
2014/7/16,6.16,6.21,5.98,6.1,19158500,6.1,,
2014/7/15,6.9,6.9,6.26,6.26,46695000,6.26,,
2014/7/14,6.54,7.15,6.48,6.95,56948300,6.95,,
2014/7/11,6.6,6.78,6.48,6.5,23650900,6.5,,
2014/7/10,6.49,6.71,6.45,6.65,22667300,6.65,,
2014/7/9,6.92,7.05,6.52,6.6,41717600,6.6,,
2014/7/8,6.91,7.21,6.75,7.07,49884200,7.07,,
2014/7/7,6.7,7.3,6.56,7.1,67865300,7.09,,
2014/7/4,6.75,7.01,6.43,6.77,83264500,6.76,,
2014/7/3,6.38,6.38,6.38,6.38,10253600,6.37,,
2014/7/2,5.8,5.8,5.8,5.8,987500,5.79,,
2014/7/1,5.27,5.27,5.27,5.27,977000,5.26,,
2014/6/30,4.79,4.79,4.79,4.79,1291200,4.78,,
2014/6/27,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/26,4.35,4.35,4.35,4.35,0,4.34,,
